index,filename,latency_s,num_detections,warmup
3,000000000724.jpg,0.04107751400010784,2,True
4,000000000776.jpg,0.025275003000160723,2,True
5,000000000785.jpg,0.024657037999986642,2,False
6,000000000802.jpg,0.0252197800000431,2,False
7,000000000872.jpg,0.027156730999877254,2,False
8,000000000885.jpg,0.025427022000030775,8,False
9,000000001000.jpg,0.02547141099989858,11,False
10,000000001268.jpg,0.025058557999955156,6,False
11,000000001296.jpg,0.0246744830001262,2,False
12,000000001353.jpg,0.024252110999896104,2,False
13,000000001425.jpg,0.025635356000066167,2,False
14,000000001490.jpg,0.024625648999972327,3,False
15,000000001503.jpg,0.02338518200008366,6,False
16,000000001532.jpg,0.026146524000068894,6,False
17,000000001584.jpg,0.02648720999991383,6,False
18,000000001675.jpg,0.025349131999973906,1,False
19,000000001761.jpg,0.024600094000106765,2,False
20,000000001818.jpg,0.024246981000032974,1,False
21,000000001993.jpg,0.024826982999911706,2,False
22,000000002006.jpg,0.02599394900016705,5,False
23,000000002149.jpg,0.025663763000011386,7,False
24,000000002153.jpg,0.02521961399997963,5,False
25,000000002157.jpg,0.026080876000150965,12,False
26,000000002261.jpg,0.02437433299996883,1,False
27,000000002299.jpg,0.024916039000117962,12,False
28,000000002431.jpg,0.02638498799979061,11,False
29,000000002473.jpg,0.02500848399995448,6,False
30,000000002532.jpg,0.025324337000029118,3,False
31,000000002587.jpg,0.024083406000045215,0,False
32,000000002592.jpg,0.025058390999902258,2,False
33,000000002685.jpg,0.02655089599988969,7,False
34,000000002923.jpg,0.02372649799985993,2,False
35,000000003156.jpg,0.025047428000107175,2,False
36,000000003255.jpg,0.02403901700017741,0,False
37,000000003501.jpg,0.026068783000027906,3,False
38,000000003553.jpg,0.025073150000025635,3,False
39,000000003661.jpg,0.024910632000000987,1,False
40,000000003845.jpg,0.02492183499998646,9,False
41,000000003934.jpg,0.025228798999933133,9,False
42,000000004134.jpg,0.025923208999984126,14,False
43,000000004395.jpg,0.025596337000024505,2,False
44,000000004495.jpg,0.024397538000130226,3,False
